URL,Script Category,Leaf Breadcrumb,,,,,,,
https://www.amazon.com/s/ref=sr_in_A_p_6_4?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A6127770011%2Cn%3A679273011%2Cp_6%3AAH1YFAUS3NHX2%7CA7ULJO7NAWM0L%7CATVPDKIKX0DER&bbn=679273011&ie=UTF8&qid=1498037224&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Athletic : Ballet & Dance : 3 sellers",,,,,,,Zappos.com
https://www.amazon.com/s/ref=sr_nr_p_6_0?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A6127771011%2Cn%3A10294505011%2Cp_6%3AA38MYE29B8LFRT%7CAH1YFAUS3NHX2%7CA1LEM297LNF1FK%7CAG670YE9WDQRF%7CA7QKSDTF5TXF5%7CA7ULJO7NAWM0L%7CATVPDKIKX0DER&bbn=10294505011&ie=UTF8&qid=1498037101&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Athletic : Team Sports : 7 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_nr_p_6_0?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A6127771011%2Cn%3A679351011%2Cp_6%3AA38MYE29B8LFRT%7CAH1YFAUS3NHX2%7CA1LEM297LNF1FK%7CAG670YE9WDQRF%7CA3NWHXTQ4EBCZS%7CA7QKSDTF5TXF5%7CA7ULJO7NAWM0L%7CATVPDKIKX0DER&bbn=679351011&ie=UTF8&qid=1498036769&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Athletic : Fitness & Cross-Training : 8 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_nr_p_6_0?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A6127771011%2Cn%3A679353011%2Cp_6%3AAH1YFAUS3NHX2%7CA1LEM297LNF1FK%7CAG670YE9WDQRF%7CA7ULJO7NAWM0L%7CATVPDKIKX0DER&bbn=679353011&ie=UTF8&qid=1498036534&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Athletic : Golf : 5 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_nr_p_6_1?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A6127771011%2Cn%3A3412245011%2Cp_6%3AA38MYE29B8LFRT%7CAH1YFAUS3NHX2%7CA1LEM297LNF1FK%7CAG670YE9WDQRF%7CA2I0YKRFYX9813%7CA3NWHXTQ4EBCZS%7CA7QKSDTF5TXF5%7CA7ULJO7NAWM0L%7CATVPDKIKX0DER&bbn=3412245011&ie=UTF8&qid=1498036419&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Athletic : Tennis & Racquet Sports : 9 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_nr_p_6_3?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A6127771011%2Cn%3A679352011%2Cp_6%3AAH1YFAUS3NHX2%7CAG670YE9WDQRF%7CA3NWHXTQ4EBCZS%7CA7QKSDTF5TXF5%7CA7ULJO7NAWM0L%7CATVPDKIKX0DER&bbn=679352011&ie=UTF8&qid=1498036197&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Athletic : Cycling : 6 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_nr_p_6_0?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A6127771011%2Cn%3A679377011%2Cp_6%3AA38MYE29B8LFRT%7CAH1YFAUS3NHX2%7CAG670YE9WDQRF%7CA1LEM297LNF1FK%7CA3NWHXTQ4EBCZS%7CA7QKSDTF5TXF5%7CA7ULJO7NAWM0L%7CATVPDKIKX0DER&bbn=679377011&ie=UTF8&qid=1498035714&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Athletic : Walking : 8 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_in_A_p_6_13?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A6127771011%2Cn%3A679339011%2Cp_6%3AA38MYE29B8LFRT%7CAH1YFAUS3NHX2%7CAG670YE9WDQRF%7CA1LEM297LNF1FK%7CA3NWHXTQ4EBCZS%7CA7ULJO7NAWM0L%7CATVPDKIKX0DER&bbn=679339011&ie=UTF8&qid=1498035475&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Athletic : Ballet & Dance : 7 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_nr_p_6_0?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A6127771011%2Cn%3A679369011%2Cp_6%3AA38MYE29B8LFRT%7CAH1YFAUS3NHX2%7CA1LEM297LNF1FK%7CAG670YE9WDQRF%7CA7ULJO7NAWM0L%7CATVPDKIKX0DER&bbn=679369011&ie=UTF8&qid=1498031658&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Athletic : Skateboarding : 6 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_nr_p_6_0?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A6127771011%2Cn%3A679365011%2Cp_6%3AA38MYE29B8LFRT%7CAH1YFAUS3NHX2%7CAG670YE9WDQRF%7CA1LEM297LNF1FK%7CA3NWHXTQ4EBCZS%7CA7ULJO7NAWM0L%7CATVPDKIKX0DER&bbn=679365011&ie=UTF8&qid=1498031423&rnid=2661622011,Other Sports Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Athletic : Sport Sandals & Slides : 7 sellers",,,,,,,
